Frequency ,Irms,Irms
1000,3.30E-03,3016
10000,2.17E-05,17.1
20000,2.18E-05,21.1
30000,2.80E-06,2.7
40000,1.40E-06,1.4
50000,7.00E-07,0.8
60000,0,
70000,0,
80000,5.30E-06,5.2
90000,0,
100000,1.13E-06,1.1
110000,,
120000,,
130000,,
140000,,
150000,,
160000,2.60E-06,2.6
170000,,
180000,,
190000,,
200000,6.60E-06,6.6
210000,,
220000,,
230000,,
240000,1.50E-06,1.6
250000,,
260000,,
270000,,
280000,,
290000,,
300000,9.00E-07,0.9
310000,,
320000,1.00E-06,1
330000,,
340000,,
350000,,
360000,,
370000,8.00E-07,0.6
380000,2.60E-06,2.7
390000,1.67E-05,8
391,23.7,11.3
392,20.4,20.8
393,46.6,36
394,106.7,82.4
395,228.7,176.7
396,457.9,350.8
397,584.6,581.1
398,718,714
399,746,742
400,745,741
401,743,731
402,725,729
403,616,612
404,399.2,396.5
405,205.9,204.5
406,96.9,96.2
407,42.7,42.4
408,17.2,17.1
409,9.2,5.9
410,16.5,7.4
411,9.2,8.9
420,2.5,2.5
430,0.3,0.4
440,,
450,,
460,,
470,,
480,,
490,,
500,0.2,0.3
510,7.3,
520,,
530,,
540,,
550,,
560,,
570,,
580,,
590,,
600,,7.2
610,,
620,,
630,,
640,,
650,,
660,,
670,,
680,,
690,,
700,,
710,,
720,,
730,,
740,,
750,,
760,,
770,,
780,,
790,0,
791,1.6,
792,6,
793,15.8,
794,37,
795,80.8,
796,163.7,
797,281.5,
798,362.5,
799,381.9,
800,381.9,379.7
801,,
802,374.9,
803,327.4,
804,216.9,
805,113.4,
806,53.5,
807,23.7,
808,9.5,
809,3.2,
810,0,
1000,5.4,5.4
1200,255.9,254.7
